krama,ngoko
dene ingkang jaler tansah ngupados nalar kadospundi sagedipun angrukunaken sadaya rabinipun asring asring lampah dora ngalem ingkang saweg tampi gilir nacad dhateng ingkang boten pinuju dipun dhatengi ing salebetipun griya tansah dahuru langka ingkang gadhah ulat sumeh jalaran remeh kemawon murugaken grejegan,wong lanang kudu mikir kepiye carane ngrukunke kabeh bojone kerep kerep ana sing salah tingkah sing lagi gantian ngladeni malah ngganggu sing ora lagi diladeni ning omah tansah rame jarang sing seneng mergo perkara sepele wae malah padu
kala rumiyin wonten kaji gadhah semah tiga tiga pisan tansah congkrah nanging ing sawektu estri tiga wau saged rukun nalika kyai kaji kesah kendhuren bojonipun tiga pisan sami ngalempak ing pondhokipun,biyen ana kiai duwe bojo telu telune podo cerewet tapi naliko kiai lunga kondangan bojone telu telune podo ajeg ing omah
embok sepuh,simbok tuwo
ing ngriku sami tanggap tinanggap bab lampah lampahipun ingkang jaler manawi dhong gilir dhateng salah satunggilipun,kono pada nerima tindak tandukne sing ora becik yen gantian nyerang salah sijine
tiyang tatiga boten kenging kumbi kedah waleh sablakanipun,kowe kabeh ora oleh mangan kudu wangsul sekalian
lah ing ngriku kawiyak sadaya lamisipun kyai kaji pundi ingkang boten tampi gilir dipun canten anggalur boten wonten ingkang kaleresan olah olahanipun sadaya cemplang tanpa raos dalah anggenipun wedhak pupur supados lakinipun resepa dipun wastani kemayu ora nyebut,yo kui wis kabeh rampung pak kyai sing ora gelem gantian ngurus ora ana sing bener gaweane kabeh aneh aneh ora nganggo rasa malah nggawe bedak supaya bojone ayu diarani ayu ora usah disebut
ingkang pinuju dipun dhatengi dipun gunggung ngantos munyung munyung,sing lagi dilakoni akeh banget ampe munggah munggah
temahan tiyang tiga pisan sanget amuring muring sami lumebet ing senthongipun piyambak piyambak akancing kori,wong telu panas banget padha mlebu omah dhewe dhewe nutup lawang
kocapa kyai kaji mantuk brekatipun ageng ing batos badhe angsal alem dumugi ing ngajeng griya anguwuh uwuh,kyai kaji mulih nitip barang akeh banget arep oleh omah nganti neng ngarep omahe uwuh uwuh
wong wedok wong wedok padha metua kene ing pendhapa dadi siji brekate padha didum,wong wadon wadon pada tuwa kene ning pendapa dadi siji brekete pada didum
nanging semahipun satunggal kemawon boten wonten ingkang sumaur sampun malih ngwengani kori,nanging siji wae ora ana sing nyaut wis maneh ngenani lawang
ing wiwitan pun kaji boten andungkap punapa jalaranipun nanging dangu dangu sareng enget bilih rabinipun atut gadhah panggagas ambokmanawi wadul winadulan bab lakinipun wekasan lamisipun kyai kaji kewanguran,awale kiyai ora ngerti opo sebapne nanging suwe suwe eling yen bojone iku duwe pikiran mbok menawa ngadu adu bab bojone pungkasane kyai bingung
mila ing batos sanget kaduwungipun tobat asrah bongkokan tembungipun ngasih asih,mulane banget ngenes tobat nyerah pasrah omongane welas asih
bojoku kowe telu pisan ayu kabeh manis kabeh merak ati kabeh wegig kabeh aku anjaluk lawang apuranen dosaku,bojomu loro telu ayu kabeh manis kabeh merak ati kabeh bagus kabeh aku njaluk pangapunten dosaku
rabinipun tiga pisan medal sesarengan kyai kaji dipun uman uman dipun pulasara ngantos ngaru ara sambatipun,kowe loro mau telu keluar bareng kyai kaji dirawat diurus nganti mari
tiyang estri ingkang kawayuh boten mantep sihipun dhateng laki manahipun melang melang trataban kirang pangrimatipun dhateng anak punapadene pangudinipun supados anakipun gadhaha kasagedan,bojo ra tresno marang bojone rumangsa kurang perhatian marang anak lan kurang ngopeni supaya anake bisa sukses
watekipun estri manawi sumerep ingkang jaler pikiripun malih mertiga lajeng nglalu supe dhateng kuwajibanipun biyung dhateng anak wusana anak anakipun kapinten,rase wadon yen ngerti bojone mikirane ganti dadi ora peduli karo kewajibane minangka ibu marang anak pungkasane anake dadi mlarat
malah saking genging susah supe dhateng awakipun,malah angel banget susah banget kanggo awakmu
cegah nedha cegah tilem manahipun risak,ojo mangan ojo turu atimu rusak
badanipun anggagang aking kathah ingkang pejah ngenes trekadhang ewah budinipun,awak e akeh sing mati ngenes ati pengen ganti watak e
kaprahipun tiyang jawi yen rabi taksih kenemen umuripun dados inggih saweg gadhah tedha sakedhik utawi saweg ngupados pangkat utawi padamelan,wong jowo nek rabi isih enom umure ya wes oleh mangan sithik utawa oleh golek pangkat utawa kerjaan
bojonipun tumut angraosaken pait getir saangsal angsal angrencangi jaleripun angwontenaken sandhang tedhanipun,garwane melu ngrasakke pait getir supaya bisa nyukupi kebutuhan bojo
manawi tiyang sepuhipun saged inggih tampi jajan saking tiyang sepuh,yen simbah gelem nampa jajan saka simbah
asring asring ingkang estri dipun telasaken panganggenipun ngantos kenging katembungaken wuda kasade kangge nomboki kabetahanipun ingkang jaler ngaya aya sageda kaleksanan ingkang dados sedyanipun saking tresnanipun dhateng laki boten petang,asring bojone kurang sandang pangan malah tekan wuda kanggo nyukupi kebutuhan lanang supaya bisa dilakoni kabeh kuwi jalaran tresno marang bojone ora mung sakmene
ciptanipun bilih ing tembe ingkang jaler angsal padamelan utawi dados abdining gupremen sadaya badhe saged tumbas malih,gaweane yen mengko sing lanang entuk kerja utawa dadi pegawe kabeh bakal bisa tuku maneh
cipta ingkang makaten punika ingkang limrah boten leres awit manawi ingkang jaler dados priyayi wiwitipun bayar sakedhik begja manawi cekap kangge nedha kalihan kangge tumbas sembet mokal sageda tumbas,pikiran kaya ngono iku umume ora bener merga yen wong lanang dadi bangsawan wiwitane bayare sithik mujur yen cukup kanggo mangan lan tuku klambi angel bisa tuku
dandosan barang mas inten punapa malih manawi tiyang jawi lumebet padamelan partikelir blanjanipun sangsaya sakedhik,gawean barang emas berlian apa maneh nek wong jawa mlebu kerjaan pribadi jajanane tambah sethithik
kula gadhah pitepangan taksih dados murid sampun semah sareng medal saking pamulangan anakipun sampun tiga dados carik anak mindhak satunggal gesang sadaya,aku duwe janji isih dadi murid wis mantu karo metu saka sekolah anake wis telu dadi carik anak tambah siji urip kabeh
bayar tigang dasa rupiyah kangge nyewa griya gangsal rupiyah sawulan mangka adat jawi saben priyantun sakedhikipun gadhah rencang kalih dados juru serat wau kakirangan mindeng sandhanganipun ingkang wujud sinjang boten saged tumbas ingkang makaten punika ingkang estri saben dinten sasampunipun angolah olahaken tiyang sagriya lajeng nyerat malah manawi dalu inggih nglembur amurih sagedipun anyandhangi bojo saha anakipun,bayar telung puluh ewu kanggo nyewa omah lima ewu saben wulan adat jawa saben wong kudu nduwe kanca loro dadi juru tulis nanging kurang kerep sandangane wujud kain ora bisa tuku kaya ngono iku bojone saben dina sawise masak kanggo wong omah terus nulis malah yen bengi ya lembur supaya bisa nyukupi bojo lan anake
mangka asring asring katrocohan amargi griyanipun awon kirang brukut,ya akeh sing kacilakan mergo omah rusak ora ana perawatan
manawi siyang soroting surya lumebet ing griya medal ing payon manawi dalu pinuju padhang bulan rembulan wela wela katingal sanajan korinipun griya sampun mineb,yen awan srengenge mlebu omah metu saka pituduh yen bengi rembulan padhang banget ketok senajan omah wis peteng
sadaya,kabeh
lelabuh ingkang makaten punika manawi tiyang jaler ingkang utami boten badhe nganggep sapele enget ing salaminipun gesang boten badhe kolu nyakitaken manahipun ingkang estri saangsal angsal bojonipun dipun babingah,laku kaya ngono kuwi yen wong lanang sing apik ora bakal nganggap remeh ati bojone sak urip uripe ora bakal tega nyakiti ati bojone bojone dibahagiakake
watawis pitung taun anglampahi padamelan juru serat tiyang punika minggah asisten wadana,kurang luwih pitu taun kerja dadi juru tulis wong iku promosi dadi asisten kepala
o kadospundi bingahipun bok juru serat sapunika dados bok asisten ingkang jaler gadhah bawah gadhah kuwasa,piye carane sing juru tulis dadi asisten lanang sing duwe kekuasaan
sareng asisten enggal wau sampun kasumpah lajeng nglampahaken padamelan,bareng asisten anyar wis sumpah terus kerja
lurah dhusun sabawahipun sadaya kaklempakaken manahipun bok asisten agengipun asor redi slamet sumerep ingkang jaler kaseba tiyang samanten kathahipun,lurah dusun karo warga kabeh dijak kumpul asisten bupati a redi slamet ngerti yen ana wong podo teka
rumaos begja rumaos luhur rumaos kinacek ing sasami,rasane seneng rasane gede rasane dihargai kabeh wong
bok asisten supe dhateng rekaosipn kala rumiyin ngantos langkung saking kat,kowe tulung takon marang arsip wingi nganti luwih saka cukup
panuwunipun dhateng ingkang murbeng tuwuh mugi mugi ingkang jaler lulusa anggenipun anglampahi ayahan nagari kanggep padamelanipun sageda minggah minggah,matur nuwun marang gusti allah muga muga lancar gaweane lan sukses karirane
drajadipun sageda momong anak anakipun dumugining diwasa tuwin angsal pangupajiwa,iso ngopeni anak e nganti gede lan bisa urip
nanging kabingahan makaten punika boten lami watak wantuning jawi manawi sampun mrintis badhe katingal ijem lajeng sanes nalaripun,ning senengku iku ora suwe watak wong jowo nek wis mulai ketok ijo trus ganti alesane
rumaosipun bandara asisten sarehning ablanja satus rupiyah sawulan badhe nyenengaken manahipun semahipun sampun katingal ragi sepuh badhe ngenemaken,bandara asisten seneng oleh gaji seratus rupiah saben wulan wong tuwane seneng wis keliatan bakal sugih
boten pisan pisan enget manawi semahipun enggal sepuh punika saking kakirangan rekaos anyambut damel rinten dalu angrencangi ingkang jaler supados sampun ngantos kaliren sarta kewudan,ora kok lali yen simbahmu wong tuwa iku amarga kurang kuat nggarap kerja siang bengi ngurusi sing enom supaya ora nganti keluwen lan kurang sandang pangan
sanajan ingkang estri kipa kipa boten purun dipun kemaru asisten wadana wau angleksanani pikajengipun mendhet selir anak lurah dhusun saweg umur nembelas taun,sanajan bojone ora gelem asisten wadana tetep nglakoni pengene njupuk bojone anak lurah dusun sing umure nem belas taun
sanajan warninipun boten patos sae nanging sarehning teksih lare inggih ngawonaken padminipun,sanajan werne ora apik tapi amarga isih cilik ya tak trimo
prasasat padminipun wau dipun kebonaken langka sanget dipun tuweni,kowe sing ngerti iku susah banget ditemokne
wiwit samanten embok asisten kados tiyang ewah boten,kowe iki mbak asisten kaya wong edan ora
wonten barang ingkang dipun remeni dalah dhateng anakipun boten gadhah tresna supe nedha supe tilem sambatipun melas asih rumaos boten kuwawi nandhang susahing manah,ana barang sing disenengi malah anak dewe ora nduwe tresna turu mangan sambate welas asih ra kuat nandhang susahing ati
dagingipun ical cahyanipun kados layon,dagingnya ilang cahyane kaya mayit
o ya talah bangsa kula jawi teka tegel ningali ingkang kados makaten,iya ta rasane aku wong jawa susah ndelok kaya ngono
punapa boten gadhah tepa tepa saupami bojonipun alambangsari kalihan jaler sanes punapa boten gadhah benter,apa ora nduwe welas asih yen bojone kegandeng karo lanang liyo apa ora nduwe ati
manawi makaten tiyang estri boten nate saged kadumugen kajengipun,yen ngono wong wadon ora tau bisa dijak ketemu bojone
bilih boten kawayuh kedah kakirangan,yen ora iso kudu kurang
manawi kacekapan kedah gadhah maru,nek isa kudu duwe cukup
benjing punapa gusti allah ingkang sipat murah badhe paring watek jujur dhateng tiyang jawi,besok apa gusti allah sing sipate murah bakal menehi sifat jujur marang wong jawa
punapaa sampun pinten pinten atus taun kabawah ing walandi boten niyat niru caranipun alakirabi,apa wis pirang atus taun dijajah walanda ora niat niru cara ala alane
bangsa walandi kamuktening estri wonten ingkang meh sampurna,wong walanda ayune wadon ana sing meh sampurna
bangsa kula jawi ingkang boten wayuh tresnaning estri lair batin boten asemang semang jaler estri boten raos rumaos atut runtut abrayan tulung tinulung,aku wong jawa sing ora biso ngerti tresnane wong lanang wadon ora cocok ora seneng ora krasa melu melu urip bebarengan tulung tinulung
awrat entheng kagotong tiyang kalih,berat enteng digotong wong loro
mulya lare ingkang gadhah bapa biyung makaten punika,mulyo anak sing duwe bapak ibu kaya ngono
leres tiyang ingkang bojo satunggal kathah godhanipun gampil sedhengipun dhateng bojo melik dhateng estri sanes,bener wong sing bojone siji akeh godane gampang rabi karo wedok liyo
nanging tiyang ingkang wayuh kalih tiga sakawan inggih dereng temtu narimah punika kemawon amargi sadhengah kekareman manawi hawanipun kapekak inggih saged narimah sakedhik,nanging wong loro telu papat durung mesthi nampa mung sak iki amarga ana sing seneng yen akeh isa nampa sithik
manawi dipun jor tanpa wekas kajawi punika manusa rak ginanjar beda kalihan sato manusa kedah anggayuh ing kautaman mathet hawa ingkang lumereg dhateng kanisthan ngiyataken napsu ingkang badhe anjunjung dhirinipun,yen ditilik tanpa wates kajaba iku manungsa rak diwenehi ganjaran beda karo kewan manungsa kudu nggayuh ing kautaman mateni hawa nafsu kang ala kanggo ngiyataken nafsu kang arep ngluhurke awake dhewe
saleresipun tiyang ingkang limrah kemawon tangeh sagedipun asemah kalih punapa malih tiga utawi sakawan,wong biasa wae angel ngerti loro apalagi telu utawa papat
amargi kasebut ing kitab boten ngemungaken kabetahaning ngagesang kemawon maru sadaya kedah kasami dalah giliring saresmi inggih kedah adil,merga ditulis ing kitab ora mung ngomong bab urip bae kabeh kudu sami malah giliran resmi kudu adil
punapa kadugi wonten tiyang jaler ingkang saged anglampahi,apa ono wong lanang sing isa nglakoni
sasumerep kula pundi tiyang wayuh bojonipun ingkang satunggal,aku ngerti sopo bojone siji
dipun sihi sanget,di sayang banget
sanesipun lajeng kalemparakaken,terus dibuwang
manawi mirid parentahing agami tiyang jaler ingkang wayuh punapa boten dosa,nek nglanggar prentah agama wong lanang sing wis dikawin iku dosa apa ora
tiyang ingkang wayuh tumrap dhateng anakipun inggih asring nalisir saking leres,wong kang sayang marang anake asring ngapusi
anakipun semah ingkang kadunungan asih kabasakaken kaemban cindhe nanging anaking bojo ingkang boten dipun tresnani kaemban siladan,anakke sing dikasihi dijak numpak andong nanging anakke bojo sing ora dikasihi dijak mlaku
dados anak sami anak wiwit alit sampun kirang rukun,dadi anak anakmu wiwit cilik wis ora rukun
kajawi saking makaten lare lare wau saben dinten namung nyipati tuladha ingkang boten sae kados ta bapakipun paben tanpa kendel asring dora dhateng bojo slunthat slunthit dhateng gunakayanipun piyambak ngumpetaken kangge bojonipun ingkang kadhawahan sih,liyane iku bocah bocah iku saben dina mung niru conto sing ora becik kaya bapakne tanpa kendhat kerep ngece bojone mbuwang mbuwang barang barange dhewe ngumpetke kanggo bojone sing wis kurang seneng
punapa kalakuaning bapa ingkang makaten wau prayogi tumrapipun dhateng wataking anak anakipun,apa tindak tanduk bapak kaya ngono kuwi pantas kanggo anak anake
manawi kapinujon tiyang jawi pejah tilar yatra mangka anakipun saking biyung kalih utawi langkung temtu warisan punika dados rebatan nukulaken prakawis temahan ingkang angsal panduman kathah piyambak para,nek wong jowo mati ninggal bojo karo anak luwih saka siji warisan mesti rebutan seng entuk akeh sing pinter ngatur
anglampahaken rad agami,nglakoni agama
saupami tiyang jawi kathah ingkang pejah tilar bandha maewu ewu kados cina saiba para lid rad agami bingahipun,yen wong jawa akeh sing mati ninggal harta kekayaan kaya wong cina akeh sing gelem ngrampas barang barange
eman kanca jawi manawi tilar donya prasasat boten saged ules ules,saiki kanca wis mati ora isa dijak dolan maneh
ingkang kaping kalih tiyang wayuh punika langkung kathah wragading gesangipun tinimbang kalihan ingkang boten,sing nomer loro iku urip e luwih akeh tinimbang sing ora
manawi manut agami islam tiyang wayuh boten kenging baukapine bojo kalih utawi langkung kedah sami dipun sukani griya sandhang tedha ingkang sami,yen miturut agama islam wong loro ora oleh duwe bojo loro utawa luwih kudu diwenehi omah sandhang pangan sing padha
sanajan cara jawi bojo kathah katunggilaken sagriya meksa kathah telasing yatra ingkang kaangge ngawontenaken kabetahanipun tiyang punika sadaya,senajan cara jawa bojone akeh ditinggal rabi tetep akeh sing oleh rejeki kanggo urip becik kabeh
tiyang estri ingkang kamaru tansah merek minerekaken rebatan kayaning lakinipun jalaran gadhah panyana manawi tiyang jaler boten adil,bojo sing cemburu terus ngira ira salah bojone mergo ngira bojone ora adil
sadaya ngangkah angsala bagean ingkang langkung kathah punapa malih bab pangangge ingkang minangka rarengganing badan sadaya panedhanipun jor joran boten kenging kantun awit pangangge,kabeh njupuk bagian sing luwih akeh malah bab panganggo sing dadi perhiasan awak kabeh kudu rapi ora oleh kurang awit panganggo
punika sarananipun angrengga badan ngindhakaken rumeseping laki dhateng rabinipun,iku saran supaya awakmu sehat lan ora ngrusuhi bojo
tiyang kamaru boten kendhat kendhat ambudi amurih lakinipun supe dhateng marunipun sadaya,wong kono ora leren leren ngupaya lakune supaya tekan margane kabeh
bilih dipun pikat sarana solah tanaga tuwin pepaesing badan tiyang jaler meksa teblek tiyang estri lajeng tuwuh nalaripun ingkang asring damel susahipun tiyang sagriya,nek dipancing nganggo kekuwatan lan dandanan awak lanang nganti wanita klelep terus muncul masalah sing kerep gawe susah wong akeh
kados saben tiyang jawi sampun sami mireng tiyang kamaru asring madhukun ngupados guna guna kangge mikat sihing laki guna ingkang saged ngentasaken maru,kaya wong jowo wis pada krungu wong jahat kerep nglakoni guna guna kanggo njepret ati lanang guna kang bisa ngilangi gawe susah
punika boten sakedhik beyanipun,iku ora sethithik regane
manawi taksih gadhah babundhelan inggih punika ingkang dipun angge manawi celengan telas anggen anggenipun dipun sadeni namung sageda angsal yatra kangge mejani,nek isih duwe barang barang kui sing digunakna nek duit abis dienggo ngirit mung iso entuk cukup kanggo mangan
mila tiyang kawayuh inggih nyranthil boten bangsa alit utawi sedheng kemawon dalah bangsa luhur inggih makaten,mestine wong sugih ya melu ora mung wong cilik utawa wong sedheng wong gedhe uga kudu melu
rumiyin wonten priyatun jawi ageng kalenggahanipun saderengipun jumeneng luhur garwa namung satunggal saben dinten lir mimi lan mintuna dados kembang lambe,biyen ana wong jowo gedhe pangkate sadurunge dadi ratu bojone mung siji saben dina kaya mimi lan mintuna dadi omongan wong
kakung putri kaupamekaken sang prabu salya ing mandaraka kalihan dewi setyawati,mas mbakyu melu ndherek ngiringi raja salya ning madaraka karo ratu setyawati
tiyang sami pating clumik reraosan boten wonten tiyang jajodhoan ingkang tansah sih sinihan kados makaten,kabeh pada bingung rasaning ati ora ono wong jodohan sing tansah sayang kaya ngono
ingkang gadhah prawan sami amemuji supados anakipun angsala bojo kados priyantun punika,wong tuwa pada muji muji supaya anake oleh bojo kaya wong iki
sareng priyantun wau kagungan drajad tumraping tiyang jawi sampun mantog lajeng mundhut kelangenan,kowe iku wis duwe pangkat ing wong jawa wis cukup terus njupuk hakmu
garwa ingkang kulina kaputhun puthun ragi kasingkur sanget merangipun prasasat boten sae ningali soroting hyang bagaskara tumusing duka boten ngemungaken dhateng kakung kalihan ampeyanipun kemawon,bojo sing biyen kerep diwenehi sandhang pangan kurang banget rasane ora enak ndelok srengenge panas banget ora ngomong karo bojone wae
saisining dalem boten wonten ingkang kaleresan,omahku ora ono sing salah
nanging dukanipun wau tanpa guna awit bandara kakung sangsaya sanget asihipun dhateng klangenan prasasat sampun manjing ing salebeting jejantung sakathahing daya sakathahing reka katamakaken kalis,tapi tokoe iku ora guna amarga bapak tambah sayang karo bojone wis mlebu jantung kabeh daya kabeh upaya dilakoni
saking puteking panggalih bandara raden ayu lajeng utusan abdi kekasih ngupados dhukun ngupados dhuyung utawi srana sanesipun,amarga atiku bingung banget putri ayu banjur ngutus aku pacare golek dukun golek bantuan utawa cara liyane
ing pundi wonten dhukun ragi kawentar,endi ono dukun ramal sing kondang
kawignyanipun inggih kakarsakaken murugi ingkang makaten punika sakathahing donya brana gusis kagem paring mejani dhateng para dhukun,kemampuannya diharap sampai seperti itu seluruh dunia untuk memberi petunjuk pada para dukun
ewasamanten tangeh bandara kakung sageda benggang sarambut kalihan ampeyanipun,kowe malah isa nggandheng rambut karo bojone
dene pun ampeyan sanget angadi adi nyenyuwun ingkang boten boten tetedhan tuwin pangangge ingkang regi kathah sadaya dados jalaran malarat dhateng bandaranipun wewah wewah klangenan punika dipun ngengeri bapa biyung sadherek pinten pinten sadaya saben dinten namung nedha tilem kemawon salah satunggal boten wonten ingkang purun gumlawat ngupados sarananing gesang,kowe ra usah susah susah njaluk pangan lan sandhangan sing regane larang kabeh mergo wis kerep banget ngrasakne susah barang barang mewah lan kesenenganmu iku wis diurus bapak ibu lan sedulurmu saben dina mung mangan sega wae ora ana sing gelem kerja keras golek urip
ingkang kathah selir punika asal alit esthining manah boten liya namung sageda dados ngajeng,akeh bojone iku asal cilik ambisine ati ora liya mung isa dadi ngarep
menggah sarana ingkang katamakaken asring kemawon adamel cilaka dhateng padminipun salamining gesang,ngono kuwi alat sing kerep digunakake asring gawe cilaka marang kesehatan
limrahipun tumamaning srana boten adamel icaling nyawa amargi manawi makaten temtu ingkang namakaken badhe kaukum,biasane mangan nganggo alat ora gawe cilaka nyawa mergo nek ngono mesthi sing nggawe bakal diukum
tiyang kaselir lantip ing budi saged angsal srana ingkang adamel boten limrah dhateng padmi ngantos ingkang jaler ngemohi dhateng,wong pinter ati iso oleh rejeki sing ora biasa nganti wong lanang nggumun
semah padmi wau,kowe salah wingi
mila kajawi benter manahipun tiyang kawayuh selir tansah ngandhut kuwatos ambokmanawi cilaka saking pandameling selir wau,mulane kajaba benter ati wong wadon sing nduwe garwa loro terus meteng wedi yen cilaka saka gaweane garwa loro mau
kathah para garwaning para luhur lajeng kagungan gerah lumpuh gerah padharan tuwin gerah langkung sanget ingkang boten kenging kula wedharaken ing ngriki,akeh bojone para pejabat terus lara lumpuh lara biasa lan lara banget sing ora isa tak omongno kene
punapaa tiyang estri purun kawayuh padmi utawi kamaru selir,apa bojone gelem dimadu
la punika jalaranipun bilih bangsa priyantun isin dados reraosaning kathah sumelang manawi anakipun badhe kaanggep sawiyah dening biyungipun kuwalon,iku mergo yen wong ayu isin dadi rasaning akeh kuwatir yen anake bakal dianggep ora pantes dening ibune wong sugih
panggagasipun manawi semah malih boten badhe pajeng badhe ngupados tedha piyambak boten saged cekakipun badhe lumajeng boten wonten purugipun,pikire nek mangan maneh ora gelem melu arep golek dhahar dhewe ora iso cepet arep lunga ora ono sing ngenteni
mila manawi tiyang estri bangsa asal alitipun boten kaudi ngupados kasagedan salaminipun badhe cotho kagarap mirah dening tiyang jaler kaanggep mangsa boten badhe nuruti pikajenging lakinipun,mulane yen wong wadon asale kurang duwe kekuasan sakwise bakal ditindhes lan diopeni wong lanang dianggep ora bakal nuruti karepe bojone
bangsa tiyang alit beda sanget ingkang kathah anggenipun jejodhoan bebrayan ngupados tedha jaler estri caking padamelan sami kemawon malah terkadhang,wong cilik beda banget akeh sing jodohan urip golek bojo lanang wadon saka gawean padha malah kadhang
rekaos tiyangipun estri,rakaos bojone
mila yen tiyang estri kasakitaken manahipun dening ingkang jaler lajeng nedha pegat ngupados tedha piyambak,mulane yen wadon lara ati amarga wong lanang terus mangan dhewe golek pangan dhewe
aluwung tanpa bojo tinimbang gadhah bojo boten sakeca manahipun,luwih becik ora duwe bojo ketimbang duwe bojo ora cocok atine
tiyang estri ingkang boten kamaru boten ambebana dhateng laki narimah sawontenipun,wong wadon sing ora isin ora wedi karo bojone dhewe
saking welas asihipun dhateng laki ingkang rekaos anggenipun ngupasosaken guna kaya bok estri ngeman sanget dhateng yatra gemi nastiti yatra blanja tirah sigar sadhuwit dipun enthil enthil kangge sesimpenan mrelokaken dhateng kuwajibaning biyung tumrap ing anak anak kaudi sageda gadhah paitan ingkang kangge gesang manawi sampun diwasa,amarga welase marang bojone sing susah golek duit kaya bojone ngirit banget kanggo lelayaran belanja turu mangan duit dikit dikit disimpen ngurus anak supaya bisa urip yen wis gede
begja langkung begja lare ingkang bapakipun asemah satunggal,mugi mugi sugih seneng anak sing bapak e mung siji
manawi nitik kawontenanipun bangsa kulit pethak ingkang boten kenging wayuh anakipun inggih sakedhik kuwagang amikul wragading ngupadosaken kasagedan dhateng lare lare punika sasampunipun anak mentas sadaya namung gesang tiyang kalih jaler estri entheng wragadipun,yen ndelok kahanan bangsa kulit putih sing ora oleh nduweni anak akeh rada angel nggawa beban golek kemampuan kanggo anak anake sawise anak wis metu kabeh mung urip loro lanang wadon entheng beban
